AccessID,CustomerID,AccessCategory,AccessDate,SessionDuration,PagesViewed,DeviceType,Browser,IPAddress,ReferrerURL,IsLoggedIn
19,246,although,2024-02-25 15:44:48,118,5,Tablet,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0),153.88.59.32,http://mann.com/,True
20,282,state,2024-01-25 13:09:35,82,13,Desktop,Opera/8.74.(X11; Linux i686; dv-MV) Presto/2.9.173 Version/11.00,128.31.243.77,http://www.garcia.org/,False
21,162,court,2024-05-01 03:18:29,111,3,Mobile,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1),175.93.184.198,https://www.burns.com/,False
22,34,them,2024-04-13 09:17:14,31,5,Desktop,Mozilla/5.0 (Android 2.3.4; Mobile; rv:66.0) Gecko/66.0 Firefox/66.0,159.94.101.169,http://www.huff-hayes.com/,True
23,297,pattern,2024-04-09 07:19:42,80,1,Tablet,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/533.23.4 (KHTML, like Gecko) Version/4.1 Safari/533.23.4",83.189.71.13,http://johnson.com/,False
24,144,avoid,2024-05-12 22:37:26,88,12,Mobile,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_4 rv:4.0; ca-FR) AppleWebKit/533.41.1 (KHTML, like Gecko) Version/4.0.1 Safari/533.41.1",196.164.203.40,https://www.frost.com/,False
25,267,hot,2024-05-12 04:56:25,10,26,Tablet,Opera/8.84.(Windows NT 5.1; brx-IN) Presto/2.9.178 Version/11.00,170.42.176.94,http://white.biz/,False
26,105,here,2024-04-01 11:10:43,5,12,Desktop,Opera/9.73.(X11; Linux x86_64; mhr-RU) Presto/2.9.163 Version/12.00,94.23.34.111,https://www.foster.com/,True
27,66,through,2024-01-10 04:23:17,3,27,Tablet,Mozilla/5.0 (Windows NT 5.01; wae-CH; rv:1.9.1.20) Gecko/2022-03-12 11:27:24 Firefox/3.6.11,181.113.166.2,http://alvarez.com/,True
28,139,too,2024-01-17 14:34:54,84,4,Tablet,Opera/9.62.(X11; Linux x86_64; mai-IN) Presto/2.9.184 Version/12.00,119.61.58.80,http://roberts.biz/,False
29,59,sister,2024-02-14 07:56:46,18,20,Tablet,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/5.0),9.207.16.32,https://watkins.com/,False
30,159,set,2024-04-22 05:56:26,103,10,Mobile,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.31.6 (KHTML, like Gecko) Version/5.0.5 Safari/534.31.6",136.17.68.164,https://www.frank.com/,True
31,177,question,2024-02-23 12:17:27,56,1,Desktop,Opera/8.10.(Windows NT 4.0; es-SV) Presto/2.9.168 Version/12.00,186.56.128.55,http://www.miller.org/,False
32,261,sister,2024-05-08 15:47:06,61,9,Desktop,Opera/9.85.(X11; Linux x86_64; he-IL) Presto/2.9.182 Version/10.00,91.209.173.95,https://gill.biz/,True
33,172,note,2024-01-18 12:08:01,65,22,Desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/39.0.816.0 Safari/534.0",159.17.122.82,https://bell.net/,True
34,61,within,2024-06-30 03:16:27,120,6,Tablet,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2024-05-02 17:20:32 Firefox/5.0,15.252.189.156,http://collins.info/,True
35,112,might,2024-03-01 09:55:14,35,7,Desktop,Mozilla/5.0 (Windows NT 5.0; ber-DZ; rv:1.9.0.20) Gecko/2012-01-13 03:45:11 Firefox/11.0,67.188.198.140,http://www.gomez-dominguez.biz/,True
36,223,home,2024-06-04 22:55:30,90,3,Mobile,"Mozilla/5.0 (Linux; Android 3.2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/20.0.875.0 Safari/532.2",175.208.123.202,http://www.gonzales.info/,False
37,99,reduce,2024-02-22 12:22:32,31,25,Mobile,Opera/8.39.(Windows 98; sc-IT) Presto/2.9.164 Version/11.00,45.191.162.193,http://white.com/,False
38,108,month,2024-06-17 15:11:26,78,13,Mobile,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.0),141.60.99.251,https://ashley-curtis.net/,True
39,79,skin,2024-01-14 13:20:31,42,10,Mobile,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/4.1),198.106.210.214,http://www.york.com/,True
40,145,listen,2024-01-07 22:42:11,81,17,Tablet,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_9; rv:1.9.2.20) Gecko/2013-04-28 10:33:12 Firefox/3.8,11.210.53.60,http://raymond-mccarthy.com/,False
41,266,cover,2024-06-08 04:04:07,95,2,Mobile,Mozilla/5.0 (Android 4.4.3; Mobile; rv:14.0) Gecko/14.0 Firefox/14.0,191.89.171.247,https://www.austin.com/,False
42,274,produce,2024-03-19 15:54:58,49,20,Mobile,Opera/9.25.(Windows 95; ff-SN) Presto/2.9.190 Version/10.00,6.236.204.207,http://www.francis.com/,True
43,13,fish,2024-03-30 13:27:48,113,27,Mobile,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_4; rv:1.9.6.20) Gecko/2016-09-08 22:19:49 Firefox/3.8,213.120.88.250,https://www.beard.com/,True
44,35,series,2024-04-05 04:38:53,40,26,Desktop,"Mozilla/5.0 (Linux; Android 4.2.2) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/16.0.891.0 Safari/534.0",197.14.90.146,https://edwards.com/,True
45,140,fly,2024-01-19 10:28:19,47,8,Desktop,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/5.0),155.66.78.183,http://byrd-charles.com/,True
46,25,group,2024-01-26 20:25:59,90,13,Desktop,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; the-NP) AppleWebKit/533.3.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6533.3.3",106.121.253.16,https://ibarra.net/,False
47,18,year,2024-01-15 10:37:12,57,11,Desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.1),92.252.157.158,https://www.munoz.com/,True
48,220,media,2024-04-30 04:41:49,112,5,Mobile,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/18.0.855.0 Safari/536.1",17.184.141.48,http://www.rodriguez.com/,True
49,248,rule,2024-06-09 20:53:20,113,11,Mobile,Opera/8.98.(Windows NT 5.2; csb-PL) Presto/2.9.172 Version/12.00,102.61.162.81,https://www.garrison.com/,False
50,100,take,2024-01-13 18:04:19,11,14,Desktop,"Mozilla/5.0 (Linux; Android 4.0.4) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/40.0.873.0 Safari/532.2",11.30.130.219,https://www.white-smith.com/,True
51,100,thing,2024-06-23 08:32:55,63,12,Mobile,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_3) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/57.0.825.0 Safari/535.0",13.224.0.51,https://johnson-taylor.net/,False
52,60,face,2024-06-28 05:10:40,46,19,Desktop,"Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/38.0.892.0 Safari/531.0",102.164.227.141,http://terry.com/,True
53,175,sell,2024-02-16 20:35:30,88,1,Desktop,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_4 rv:2.0; da-DK) AppleWebKit/532.16.6 (KHTML, like Gecko) Version/4.0.2 Safari/532.16.6",204.65.154.53,https://singh.com/,True
54,160,include,2024-04-06 20:09:36,64,24,Mobile,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.0),134.232.211.220,https://www.sanchez.net/,True
55,24,green,2024-02-03 18:53:01,77,29,Desktop,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_3 rv:5.0; kw-GB) AppleWebKit/535.47.3 (KHTML, like Gecko) Version/4.0 Safari/535.47.3",186.148.42.43,http://diaz-kaiser.com/,True
56,104,model,2024-06-06 02:14:05,19,9,Mobile,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_1 rv:5.0; ug-CN) AppleWebKit/531.21.2 (KHTML, like Gecko) Version/5.0.3 Safari/531.21.2",82.32.117.92,http://www.hill.org/,False
57,3,evening,2024-06-10 18:44:29,85,19,Tablet,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/531.12.3 (KHTML, like Gecko) Version/5.0.1 Safari/531.12.3",208.180.247.67,http://www.scott.info/,False
58,72,which,2024-05-05 17:21:07,78,26,Mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.0),154.119.94.127,http://www.howard-small.com/,True
59,118,card,2024-01-22 20:25:34,65,5,Tablet,Opera/8.39.(X11; Linux i686; wal-ET) Presto/2.9.175 Version/11.00,70.238.207.173,http://brooks.org/,False
60,1,follow,2024-03-29 14:37:16,36,28,Desktop,Mozilla/5.0 (Android 4.4.2; Mobile; rv:8.0) Gecko/8.0 Firefox/8.0,90.35.192.129,https://greene-davis.com/,True
61,103,win,2024-04-26 23:47:25,65,22,Tablet,Opera/9.74.(X11; Linux x86_64; tg-TJ) Presto/2.9.165 Version/11.00,169.214.73.39,https://anderson-little.org/,True
62,285,none,2024-05-06 05:12:37,73,27,Desktop,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1),202.165.137.123,http://www.thomas.com/,False
63,45,month,2024-05-28 19:46:21,31,22,Tablet,Mozilla/5.0 (Android 2.3.4; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0,122.75.130.237,http://clay.com/,True
64,254,surface,2024-02-13 06:37:37,47,29,Mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/3.0),63.3.145.138,http://rogers-hayes.com/,True
65,241,rate,2024-03-15 11:07:29,44,17,Desktop,Mozilla/5.0 (Android 3.0; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0,106.104.83.23,https://www.jordan.net/,False
66,42,serious,2024-03-25 14:53:40,37,29,Tablet,Opera/8.33.(X11; Linux x86_64; ber-MA) Presto/2.9.179 Version/12.00,111.205.126.59,https://www.johnson.biz/,True
67,97,claim,2024-06-09 22:09:02,111,3,Tablet,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-10-02 05:45:06 Firefox/12.0,154.155.140.238,https://diaz.com/,False
68,152,without,2024-04-06 04:45:21,28,27,Mobile,Opera/9.58.(X11; Linux i686; se-NO) Presto/2.9.188 Version/11.00,7.22.35.138,http://www.neal.com/,True
69,197,man,2024-06-18 16:39:21,102,29,Desktop,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),144.255.215.200,http://www.bradley.com/,True
70,103,stay,2024-01-16 18:23:34,112,26,Tablet,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; tig-ER) AppleWebKit/535.19.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6535.19.5",128.172.24.42,https://spencer-lee.com/,True
71,1,stage,2024-06-18 21:26:03,39,21,Desktop,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_2 rv:2.0; de-CH) AppleWebKit/531.37.6 (KHTML, like Gecko) Version/4.0.1 Safari/531.37.6",216.116.36.254,https://www.davis.com/,False
72,126,husband,2024-01-30 23:45:16,115,6,Desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.0),118.68.103.11,http://www.carpenter.com/,True
73,257,forget,2024-02-27 12:33:51,77,24,Tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/29.0.824.0 Mobile/52O388 Safari/534.2",33.203.121.187,https://www.torres.com/,True
74,173,operation,2024-02-05 21:14:34,80,2,Mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/3.1),120.173.31.18,http://wolfe.com/,False
75,60,forget,2024-05-27 13:44:09,56,25,Tablet,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_5) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/24.0.813.0 Safari/531.0",121.210.127.108,http://rios.com/,True
76,154,mouth,2024-02-28 19:23:34,39,4,Tablet,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.1),162.47.169.63,http://best.com/,True
77,58,myself,2024-02-19 08:39:33,41,8,Mobile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4 rv:6.0; nl-BE) AppleWebKit/531.27.1 (KHTML, like Gecko) Version/4.0.1 Safari/531.27.1",5.55.78.86,https://weber.net/,True
78,18,apply,2024-03-01 04:24:16,9,22,Desktop,Opera/8.58.(X11; Linux i686; ff-SN) Presto/2.9.161 Version/11.00,141.43.214.37,http://www.miller-gardner.info/,True
79,193,concern,2024-06-04 15:11:59,86,11,Desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.0),69.126.159.141,https://mendez-sweeney.com/,False
80,74,physical,2024-05-28 16:56:23,61,18,Mobile,Opera/9.48.(Windows NT 5.0; li-NL) Presto/2.9.190 Version/12.00,98.149.212.57,http://www.glover.info/,True
81,283,involve,2024-05-05 03:34:25,113,13,Tablet,Opera/8.77.(Windows NT 6.0; ak-GH) Presto/2.9.161 Version/12.00,18.127.18.37,http://becker-chavez.com/,True
82,224,lose,2024-05-30 00:08:44,41,13,Mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/12.2y9974.0 Mobile/40D857 Safari/536.2",126.88.93.143,https://pollard-taylor.com/,False
83,127,different,2024-01-15 02:02:21,36,9,Mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ha-NG) AppleWebKit/534.33.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6534.33.6",149.172.50.202,http://howe.org/,False
84,239,tree,2024-05-29 13:47:59,29,1,Tablet,Opera/9.68.(X11; Linux x86_64; bho-IN) Presto/2.9.171 Version/12.00,190.247.255.31,http://lewis.com/,True
85,133,language,2024-04-05 09:12:52,69,14,Mobile,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/3.1),198.179.125.227,https://www.solis.net/,False
86,277,politics,2024-04-06 11:47:57,35,25,Mobile,Opera/8.48.(Windows 98; Win 9x 4.90; ce-RU) Presto/2.9.190 Version/12.00,87.94.112.134,http://www.cole.com/,True
87,89,themselves,2024-01-11 06:25:10,67,28,Tablet,Opera/8.14.(X11; Linux i686; xh-ZA) Presto/2.9.171 Version/10.00,28.143.70.193,https://arellano.com/,False
88,62,actually,2024-03-10 18:29:31,8,27,Mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/13.3a3910.0 Mobile/06R454 Safari/531.0",134.113.134.104,https://raymond.com/,True
89,40,significant,2024-06-25 20:03:16,36,10,Tablet,Mozilla/5.0 (Android 2.3.3; Mobile; rv:34.0) Gecko/34.0 Firefox/34.0,72.162.112.179,https://garcia.com/,True
90,1,cup,2024-04-16 04:47:40,98,19,Desktop,Opera/9.54.(Windows NT 6.0; wae-CH) Presto/2.9.179 Version/10.00,142.238.177.24,https://santiago-hill.com/,True
91,280,operation,2024-07-03 21:33:32,87,10,Tablet,Opera/9.16.(X11; Linux i686; ka-GE) Presto/2.9.189 Version/10.00,121.7.6.79,http://www.hale-arnold.info/,True
92,5,success,2024-02-13 16:57:28,97,26,Desktop,Opera/8.18.(X11; Linux x86_64; rw-RW) Presto/2.9.160 Version/11.00,153.18.235.57,http://www.lewis.com/,False
93,24,those,2024-01-06 17:17:35,108,8,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8 rv:4.0; as-IN) AppleWebKit/533.19.5 (KHTML, like Gecko) Version/4.0.5 Safari/533.19.5",58.76.38.104,http://www.garcia.com/,True
94,24,ten,2024-06-21 20:46:46,44,28,Tablet,Opera/8.17.(Windows NT 6.0; dz-BT) Presto/2.9.181 Version/10.00,23.51.153.65,https://www.conner.net/,True
95,289,sound,2024-01-09 01:02:21,69,28,Mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ff-SN) AppleWebKit/532.18.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.18.1",139.197.222.86,https://peterson.com/,False
96,70,read,2024-03-05 06:41:56,85,13,Tablet,Opera/8.30.(Windows CE; sa-IN) Presto/2.9.171 Version/10.00,200.118.78.129,https://www.rojas-jones.com/,True
97,188,tree,2024-01-17 16:24:19,68,26,Desktop,Opera/8.61.(Windows NT 5.2; ko-KR) Presto/2.9.184 Version/11.00,39.187.133.85,http://www.olson.com/,False
98,289,or,2024-01-31 04:14:44,48,28,Desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/3.1),38.12.35.228,http://www.kramer.org/,False
99,133,medical,2024-05-26 04:28:08,87,16,Tablet,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ka-GE) AppleWebKit/533.7.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.7.5",38.140.77.183,http://walker.com/,True
100,172,find,2024-01-03 08:34:07,18,8,Tablet,Opera/9.48.(X11; Linux i686; lo-LA) Presto/2.9.165 Version/10.00,25.51.35.103,https://www.house.info/,True
101,220,his,2024-01-04 06:59:00,103,5,Tablet,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/26.0.811.0 Safari/531.2",45.255.129.32,https://russell.com/,False
102,194,help,2024-06-21 06:36:07,48,12,Tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/54.0.834.0 Mobile/03A199 Safari/531.0",205.20.27.148,https://www.hawkins-lopez.com/,True
103,145,have,2024-01-13 04:16:14,103,1,Tablet,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2017-04-18 11:45:49 Firefox/3.6.11,184.143.148.1,https://www.gomez.com/,True
104,291,today,2024-02-14 18:58:28,94,28,Mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; tig-ER) AppleWebKit/533.23.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6533.23.4",204.130.127.102,http://mendoza.biz/,False
105,236,key,2024-06-22 09:13:10,74,25,Mobile,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/46.0.804.0 Safari/535.2",67.160.131.250,http://lee-washington.com/,True
106,72,skill,2024-02-01 14:49:42,108,18,Desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/4.1),6.148.125.236,http://www.bailey.info/,False
107,162,situation,2024-01-08 15:56:51,100,9,Tablet,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_3 rv:2.0; ru-UA) AppleWebKit/532.13.2 (KHTML, like Gecko) Version/4.0.4 Safari/532.13.2",53.107.250.198,http://guerrero-harris.com/,False
108,172,own,2024-02-16 20:41:34,69,25,Mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; be-BY) AppleWebKit/532.49.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6532.49.5",173.39.217.108,https://jackson-thompson.org/,False
109,154,help,2024-02-13 03:38:32,67,22,Mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; os-RU) AppleWebKit/532.5.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6532.5.3",122.58.190.236,http://www.burns-escobar.com/,True
110,53,building,2024-01-18 20:09:51,17,22,Tablet,Opera/8.98.(X11; Linux i686; ht-HT) Presto/2.9.161 Version/12.00,119.14.87.225,https://johnson.com/,True
111,126,sometimes,2024-04-18 22:08:17,24,20,Tablet,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.49.4 (KHTML, like Gecko) Version/5.1 Safari/533.49.4",85.160.136.37,http://murray.info/,True
112,221,rise,2024-03-10 09:21:49,48,30,Mobile,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1),12.162.14.70,https://martinez-jackson.com/,True
113,11,training,2024-06-28 23:51:45,49,5,Desktop,Opera/9.21.(Windows NT 4.0; ur-PK) Presto/2.9.172 Version/10.00,43.33.127.204,https://rowland-shields.net/,True
114,164,assume,2024-01-04 04:50:15,65,3,Tablet,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/5.0),94.146.56.123,https://www.sharp-francis.com/,False
115,8,phone,2024-02-23 10:48:03,13,2,Mobile,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.48.7 (KHTML, like Gecko) Version/4.0.1 Safari/531.48.7",34.122.98.197,https://www.frazier.com/,False
116,248,able,2024-04-19 21:56:00,93,19,Mobile,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.0),209.54.243.217,https://www.mason.com/,True
117,240,crime,2024-05-13 14:14:08,9,17,Desktop,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/59.0.833.0 Safari/535.0",108.130.174.163,https://www.humphrey-walton.com/,True
118,284,maintain,2024-05-15 06:38:44,65,16,Desktop,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/37.0.858.0 Mobile/42Z607 Safari/533.2",84.215.27.105,http://www.pugh.com/,False
119,179,guess,2024-03-14 22:08:19,85,25,Mobile,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/3.1),204.168.177.163,http://www.harris.com/,True
120,80,seem,2024-01-09 10:12:21,120,27,Tablet,"Mozilla/5.0 (Linux; Android 5.1.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/63.0.833.0 Safari/531.1",60.128.192.78,https://garcia.com/,True
121,24,them,2024-04-12 23:38:42,43,9,Desktop,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.26.4 (KHTML, like Gecko) Version/5.0 Safari/533.26.4",201.227.68.76,http://day.info/,True
122,78,phone,2024-04-30 01:53:27,95,7,Desktop,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/15.7i5207.0 Mobile/57Y264 Safari/532.0",33.10.220.228,https://herrera-huffman.com/,True
123,120,away,2024-04-15 01:02:28,63,4,Tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/3.0),39.3.117.17,https://www.bruce.com/,True
124,70,require,2024-04-13 08:39:48,54,30,Mobile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_7) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/37.0.852.0 Safari/532.2",58.107.255.241,https://roy.info/,False
125,265,lose,2024-01-04 12:34:10,115,13,Desktop,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0),27.54.138.95,https://www.rogers.info/,False
